,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_eah_d,Najwyzszy_eah_d,Najnizszy_eah_d,Zamkniecie_eah_d,Wolumen_eah_d,Otwarcie_mon_d,Najwyzszy_mon_d,Najnizszy_mon_d,Zamkniecie_mon_d,Wolumen_mon_d,Otwarcie_woj,Najwyzszy_woj,Najnizszy_woj,Zamkniecie_woj,Wolumen_woj,Otwarcie_pum_de_d,Najwyzszy_pum_de_d,Najnizszy_pum_de_d,Zamkniecie_pum_de_d,Wolumen_pum_de_d,Otwarcie_wig20_d,Najwyzszy_wig20_d,Najnizszy_wig20_d,Zamkniecie_wig20_d,Wolumen_wig20_d,Otwarcie_swig80_d,Najwyzszy_swig80_d,Najnizszy_swig80_d,Zamkniecie_swig80_d,Wolumen_swig80_d,Otwarcie_boss_de_d,Najwyzszy_boss_de_d,Najnizszy_boss_de_d,Zamkniecie_boss_de_d,Wolumen_boss_de_d,Otwarcie_ads_de_d,Najwyzszy_ads_de_d,Najnizszy_ads_de_d,Zamkniecie_ads_de_d,Wolumen_ads_de_d,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen_wig_d,Otwarcie_nke_us_d,Najwyzszy_nke_us_d,Najnizszy_nke_us_d,Zamkniecie_nke_us_d,Wolumen_nke_us_d
Otwarcie,1.0,0.9995029673614988,0.999440377855651,0.9974363403816678,-0.39321959548532104,-0.22055216135089928,-0.22039627357826375,-0.21872139028245685,-0.21648119076653533,0.06553285027289932,0.55268592649227,0.5509917104269293,0.5522111886583975,0.5515788411035346,-0.07809414693235124,0.021545044355875228,0.016676056665559838,0.06274544783388256,0.0566742572005657,-0.10648964980745314,0.8180069864900856,0.8174131162501419,0.8195742832510569,0.8188833573021673,-0.6779961354538142,0.7015942049441642,0.6996213951823709,0.7057242172090464,0.7024525228551668,-0.19574389210136822,-0.326692393165811,-0.33094916925478557,-0.3216842764250915,-0.32599837382334784,0.12429215396096323,0.5771722172871803,0.5744611434515917,0.5795271366887214,0.5769891023449608,-0.28413388424689656,-0.232951960238877,-0.2402339662396789,-0.22603177553066905,-0.23321488866592974,0.0037672692011948995,0.23486217504577878,0.22547492894148108,0.24680303423070699,0.2361015453341254,-0.10572181312757331,-0.6464159626284502,-0.6507527287837008,-0.6424633074131577,-0.6468628192551983,0.1239792226914065
Najwyzszy,0.9995029673614988,1.0,0.9993785489554179,0.9979508574515519,-0.38643704799959505,-0.22233922507019835,-0.22214012610535033,-0.22050053184301152,-0.21820653361325543,0.06529670555237489,0.551065908762946,0.5494914877642363,0.5506202986990674,0.5500845552586505,-0.07592089879967717,0.01972051304183752,0.015147632176950738,0.06089661456204456,0.05518316283028119,-0.10649994935513689,0.8191922350498714,0.8186127405975462,0.8207769308275703,0.8200869439640704,-0.6775027066160348,0.700361044381318,0.6989267904946238,0.70479636543946,0.7019004052636484,-0.19253761620555299,-0.32931276942050525,-0.33343376405876984,-0.32420453329945403,-0.32841700873259305,0.12452129776704206,0.5748700363072763,0.5722811172576806,0.5772700659192285,0.5748094778177961,-0.2822040325563308,-0.23131996639789337,-0.2385123225629183,-0.224366405035272,-0.23148236997593322,0.00497789780095674,0.23300407647835622,0.22406108802845826,0.24521246981373881,0.23482401996133948,-0.1031003839017945,-0.6463005426133027,-0.6506241110141305,-0.6423747370462098,-0.6467758986933914,0.12388285752111318
Najnizszy,0.999440377855651,0.9993785489554179,1.0,0.9980965843657327,-0.3982355194463804,-0.22045313785719306,-0.22017135437826438,-0.21846090049145706,-0.21613893710017282,0.06596529779764335,0.5553203382463279,0.5536999047203172,0.5549667464094854,0.5543804187804738,-0.07750725435791316,0.023951592701430505,0.01902169341000586,0.06555693094909845,0.05951606077034091,-0.1059874103932238,0.8160098916694399,0.8154146791260114,0.8176692883793668,0.8169366572127507,-0.6801324875289643,0.7006136435440518,0.6989363983585681,0.7054297562379198,0.7022636428168454,-0.1984940051708164,-0.3238634472848487,-0.32804562118728625,-0.31855394013193306,-0.32287176622499664,0.12339814925515022,0.5776691153409628,0.5750178871766654,0.5802054864919947,0.5776781239374598,-0.2862638770266967,-0.23597601523209544,-0.24323308918698852,-0.22887804451547597,-0.23606885224550841,-0.0005821357106454497,0.23433378511779784,0.22519835117004705,0.2469217714313395,0.23629575542638762,-0.1078068737957728,-0.647008658864715,-0.6513728259239188,-0.6429769308620693,-0.6474290526106661,0.1228115387319862
Zamkniecie,0.9974363403816678,0.9979508574515519,0.9980965843657327,1.0,-0.39110706981219856,-0.22486273142224358,-0.22448908751923166,-0.2228328919305155,-0.22044774837597633,0.06712682715547048,0.5548296471490602,0.5533687370172732,0.5545039401774772,0.5541054163718665,-0.07486082895384001,0.022388576234609162,0.01777538341221492,0.06407999146656854,0.05842263890551383,-0.10545435018348387,0.816062504334741,0.8154136751278973,0.8177328601082052,0.8169910473908673,-0.6812639948277568,0.6965411856706029,0.6953349801512066,0.7017420634210907,0.699214876419588,-0.19586406298867637,-0.32562673528769454,-0.3296831717447442,-0.3202370824540773,-0.3243740158971412,0.12680518237124996,0.5733826504431352,0.5708498547672217,0.5760390114892628,0.5736122722280692,-0.28496980217739315,-0.23638118307097108,-0.24356559070034373,-0.22919130564789802,-0.23627965577383583,-0.0007118663640785449,0.22978802327458353,0.22103081557912646,0.24268100320225636,0.23260563721224972,-0.10305520222113264,-0.6477433823086015,-0.6520409351080065,-0.6436307644506412,-0.6479808000428577,0.12372724448060753
Wolumen,-0.39321959548532104,-0.38643704799959505,-0.3982355194463804,-0.39110706981219856,1.0,-0.0863164219133493,-0.08374657227501778,-0.08937689527648976,-0.08865684406461548,0.16153409650006761,-0.3521937155395044,-0.348834823717449,-0.3528627026978568,-0.35091434344189115,0.273491377147694,-0.1715499593518738,-0.15901516557882883,-0.19048477039289424,-0.1801323896986607,0.037167775057462375,-0.27456290452312,-0.27365557954065994,-0.27599619569139067,-0.2747996617651668,0.3799506487614079,-0.3305723316417428,-0.3218358429191197,-0.33564303943704604,-0.3280495268230172,0.3949347395342105,-0.05958810597306847,-0.05571687807829409,-0.06361515694692647,-0.05988516920775756,0.06637655607029617,-0.40297447254121205,-0.39976892616849785,-0.4067142472122806,-0.4038390697859452,0.30113557053796447,0.17831935290840714,0.18497553782576162,0.17281485125561996,0.17957798754881385,0.16509639726417052,-0.19276894869866754,-0.1823234271201236,-0.20158895894454423,-0.19159076501074676,0.3360299186152555,0.19333687375433922,0.19781742576807024,0.18827457294038702,0.19340973868189545,0.026821272056869367
Otwarcie_eah_d,-0.22055216135089928,-0.22233922507019835,-0.22045313785719306,-0.22486273142224358,-0.0863164219133493,1.0,0.9985439931508399,0.9985111974488226,0.997745354741302,-0.06865106597056703,-0.07654500551175586,-0.0751835020524496,-0.07582411324818288,-0.0747433248244414,-0.05698193686496243,0.20240153128904975,0.20775135002498823,0.18963037629982488,0.1912733455611972,0.11039660547660449,-0.22023014990545367,-0.22008037002181863,-0.22107796141287805,-0.22106271328547372,0.15379609678507614,0.22038024566953335,0.2228416811404818,0.2127821386650838,0.21604553355970177,-0.10574627549943623,0.6198125019993748,0.6201725637241633,0.6185568260655275,0.6184861025470094,-0.06892183060095244,0.3624453860028498,0.3662796820570526,0.3604080960400198,0.3642262904648287,-0.16299565379870495,-0.02755495431225162,-0.02705955261781828,-0.028933286606669474,-0.029365887492809217,0.0032940250542633238,0.5110890237375428,0.5148883178581292,0.5027965228152833,0.5071225946491158,-0.07177806042166368,0.52439374008436,0.5249713376850179,0.5241285589095928,0.523932935930554,-0.14272735397571532
Najwyzszy_eah_d,-0.22039627357826375,-0.22214012610535033,-0.22017135437826438,-0.22448908751923166,-0.08374657227501778,0.9985439931508399,1.0,0.997895328707341,0.9987288666392601,-0.051500156850109266,-0.07884204564733358,-0.07740690830416784,-0.07807243160103026,-0.07696664004308976,-0.0529231487085695,0.19804999613705082,0.20349350804201866,0.1852506282832167,0.18701728404258278,0.11028243679382926,-0.22226206620291233,-0.22210342475778627,-0.22306674978785623,-0.22304998032334028,0.15568668628094204,0.22153002769965677,0.22425234116782863,0.21420852809702814,0.2176577186050035,-0.10468308672959542,0.6234321118622262,0.623927515769012,0.6223088866042729,0.6223167211149315,-0.06726229147371948,0.36040910273013754,0.36430216916887054,0.35841593213307843,0.36223309040487844,-0.1631108486283109,-0.02397034341680865,-0.023354400089938217,-0.025268996868571578,-0.025596697246283308,0.0030847474224526845,0.5145211819852229,0.5185471772652103,0.5064734181130892,0.5109864369268483,-0.0682373388419466,0.5275888628158977,0.5281826193063583,0.5273374938922673,0.5271390035524282,-0.14252677969321922
Najnizszy_eah_d,-0.21872139028245685,-0.22050053184301152,-0.21846090049145706,-0.2228328919305155,-0.08937689527648976,0.9985111974488226,0.997895328707341,1.0,0.9987514865623738,-0.07451902643095398,-0.07226183471057267,-0.0708667423538569,-0.07149102612270732,-0.07040535012730995,-0.0576747983503938,0.2082307926003306,0.21329939304559684,0.19615181469598827,0.19735635903798962,0.1105255422295622,-0.21991196458532156,-0.2197139665106391,-0.22071095945261313,-0.22066960693053253,0.1498336011866596,0.22463937645253151,0.2272458448968932,0.21762198742590386,0.2209270912470416,-0.11116078572524289,0.6189713349771212,0.6194039525490601,0.6181683378805878,0.6180729935943091,-0.07474584672448555,0.36837635426660315,0.3722945363190141,0.36650517410694855,0.37030107098643344,-0.16850602492520322,-0.031242770730892138,-0.030701841107675737,-0.03246831214413591,-0.03289265320757934,0.0029373623963311383,0.5122939064410342,0.5161990108834907,0.5046893002099998,0.5090109668672619,-0.07542239590314784,0.5226552077139346,0.5231719682843637,0.5224855598241818,0.5222418938573071,-0.14503917886076315
Zamkniecie_eah_d,-0.21648119076653533,-0.21820653361325543,-0.21613893710017282,-0.22044774837597633,-0.08865684406461548,0.997745354741302,0.9987288666392601,0.9987514865623738,1.0,-0.06273841506153778,-0.07312735030878217,-0.07165015141543898,-0.07233922869052152,-0.07119945894824865,-0.05328042183764865,0.20483245752585352,0.20992227720581358,0.1926257787000505,0.1939149885412421,0.11023249420935213,-0.21899830052245503,-0.2188013688406801,-0.21977623552139633,-0.219743006209463,0.14960375562916717,0.22593025968753572,0.2287008012253103,0.21900530406956129,0.22245148795838154,-0.10921472854349507,0.6211109068316164,0.6215944132976782,0.6203269562961413,0.6202854572402142,-0.07290336321103764,0.36669476601062284,0.3706431077323881,0.36482641373519586,0.36859658293934533,-0.1674579885971536,-0.028115169799819314,-0.027521460264394122,-0.029296436972870828,-0.029693061057964668,0.003821436160588617,0.5147698734091377,0.5188131971065338,0.5072603402849384,0.5117212792404473,-0.07275230362335776,0.5246474345855902,0.525152991558725,0.5245265525003484,0.52422033901621,-0.14460838530213527
Wolumen_eah_d,0.06553285027289932,0.06529670555237489,0.06596529779764335,0.06712682715547048,0.16153409650006761,-0.06865106597056703,-0.051500156850109266,-0.07451902643095398,-0.06273841506153778,1.0,-0.0005030982000123702,-0.0007518952286280705,-0.0012204615623667137,-0.001825934796532685,0.1292860670823264,-0.07157199841403732,-0.07194644272545048,-0.06990814777058496,-0.07049677407800962,0.0003954231020689446,0.025733287988335313,0.024785977868328486,0.026240121625812483,0.025687994246335184,-0.008370164865786919,0.0023392215257546814,0.004198929779823835,0.004696046573225136,0.005346268315009819,0.057591587582750875,0.03481251946276589,0.03537204045004739,0.03495813385526084,0.03523568445188652,0.09913312443442011,-0.07100618615552669,-0.07018084508040943,-0.07151689485741619,-0.06960174379060191,0.030148623356779366,0.05294849187024458,0.053227548571314495,0.053394634907754854,0.053946174751108474,-0.018161213285556893,0.02355960161610365,0.025397425034719975,0.025286165011735254,0.025947036936511667,0.09387059008279235,-0.008808879917331156,-0.00913854937298658,-0.008921630793603072,-0.009350496406550732,0.022304552316044925
Otwarcie_mon_d,0.55268592649227,0.551065908762946,0.5553203382463279,0.5548296471490602,-0.3521937155395044,-0.07654500551175586,-0.07884204564733358,-0.07226183471057267,-0.07312735030878217,-0.0005030982000123702,1.0,0.9995182389958998,0.999490523001837,0.9991716123023857,-0.07244561463082393,0.5398290253088316,0.5278450397202389,0.5703157110424946,0.5639885546345861,0.0021638025918528786,0.34985526745373535,0.3491322296336123,0.35193353055574267,0.35097647277544364,-0.59246961177039,0.15117319063770476,0.1469120345825925,0.15678766714765405,0.15210515498363134,-0.13073754157328113,-0.33189719765339587,-0.3341965714048464,-0.32718460968731905,-0.32990656635096793,-0.09601357128061916,0.6225320815405014,0.6214201534275666,0.619474982214992,0.619339611369218,-0.24374871486418168,-0.8126322818435604,-0.8173132595131642,-0.8086494681980748,-0.8127445585650784,0.2010545240193391,-0.3612302557143999,-0.3699253717149079,-0.35047663609801,-0.3597060777205751,-0.07397642710626388,-0.7651248666074806,-0.7671165261342651,-0.7634024771608453,-0.7654476585929912,0.21859926025917573
Najwyzszy_mon_d,0.5509917104269293,0.5494914877642363,0.5536999047203172,0.5533687370172732,-0.348834823717449,-0.0751835020524496,-0.07740690830416784,-0.0708667423538569,-0.07165015141543898,-0.0007518952286280705,0.9995182389958998,1.0,0.9993394726657857,0.9996621467671457,-0.062475571210238445,0.5412619090870932,0.5297053403442045,0.5717363686199322,0.5658884416380525,0.003649285321652609,0.34879384909210764,0.3481156175560659,0.3508833530485504,0.34994198327889553,-0.5913274612651583,0.1496470191593091,0.14560833628507674,0.15534604127950963,0.1508314600963418,-0.12918679755135637,-0.33225303043056686,-0.334430948718122,-0.3274784849537168,-0.33008772655463964,-0.09652336280339079,0.6232753552570433,0.6222671238982596,0.6202454710740388,0.6201837593978229,-0.24292105151666307,-0.8141420436715913,-0.8187495369443444,-0.8101733223265872,-0.8142096306103439,0.2024452929396748,-0.3628017623099539,-0.3712823898293878,-0.35196753027212563,-0.3610342302069795,-0.07269878893498712,-0.7648991035464819,-0.7668794666840711,-0.7632075518067277,-0.7652326778059232,0.21816597549669473
Najnizszy_mon_d,0.5522111886583975,0.5506202986990674,0.5549667464094854,0.5545039401774772,-0.3528627026978568,-0.07582411324818288,-0.07807243160103026,-0.07149102612270732,-0.07233922869052152,-0.0012204615623667137,0.999490523001837,0.9993394726657857,1.0,0.9995318974766934,-0.07588785738265681,0.5393263931922445,0.5275415051032658,0.5702992657482963,0.563926725552017,0.002461780224222985,0.3495666212567854,0.3488423523548572,0.3516721699931942,0.3507206333191537,-0.5925240180043454,0.15168638699429413,0.1475779883134447,0.1576376257326173,0.15301516389917522,-0.1325384371557798,-0.33047699445862344,-0.33272304483264026,-0.32554609967133397,-0.32826512134720337,-0.09705766562637534,0.6221627763079332,0.6211043545539826,0.619174717129528,0.6190986795238834,-0.24461476403764573,-0.8121130912373135,-0.8167632987906304,-0.8080876750516618,-0.8121871775640627,0.1996099321357122,-0.3600873056062322,-0.368657564203794,-0.34902923129735836,-0.35820502309853325,-0.07583848559337528,-0.764014613407496,-0.7660420628950142,-0.7622838696696734,-0.764358953540904,0.2173245686279681
Zamkniecie_mon_d,0.5515788411035346,0.5500845552586505,0.5543804187804738,0.5541054163718665,-0.35091434344189115,-0.0747433248244414,-0.07696664004308976,-0.07040535012730995,-0.07119945894824865,-0.001825934796532685,0.9991716123023857,0.9996621467671457,0.9995318974766934,1.0,-0.06704418681019472,0.5404833807902303,0.5290104203124435,0.5713069819748622,0.5653852922701754,0.003673082470629642,0.34920115020264453,0.34851926925656757,0.35132454249378886,0.3503843991622884,-0.5918631717438279,0.15103000807073585,0.14709460765862764,0.1570068626034384,0.15256870164020236,-0.13067540806245018,-0.33108710736189956,-0.333236142931372,-0.32615046119898644,-0.32874466541219577,-0.09666064802877028,0.6235560283239264,0.6225708471557398,0.6206163385959091,0.6205994292178922,-0.24416975447237882,-0.8136547351786024,-0.8182602872877469,-0.8096379159472962,-0.8136841736138286,0.20100730650203835,-0.36120726448945045,-0.3696133436670295,-0.3501160433914642,-0.35912320406163095,-0.07425914064887691,-0.7644460923662495,-0.7664600066129911,-0.7627360843710425,-0.7647950510672922,0.2160139336273645
Wolumen_mon_d,-0.07809414693235124,-0.07592089879967717,-0.07750725435791316,-0.07486082895384001,0.273491377147694,-0.05698193686496243,-0.0529231487085695,-0.0576747983503938,-0.05328042183764865,0.1292860670823264,-0.07244561463082393,-0.062475571210238445,-0.07588785738265681,-0.06704418681019472,1.0,0.020819598268158254,0.02283364495874828,0.01278808094153574,0.018133328656656292,0.0475201130058009,-0.12101717324605979,-0.121130004511948,-0.1201958131816437,-0.12094264328648252,0.02948531265945087,-0.045366684141775755,-0.041662435409253636,-0.046406316857126095,-0.04294301514801924,0.1469112428503599,0.054301882618510884,0.056203624828779636,0.053705812771591525,0.05606082818167122,0.06791413005642799,-0.1564634450033617,-0.1555764173804464,-0.15599746448228993,-0.15547953700345765,0.07289861970242671,0.08737844134092915,0.08856142467520993,0.08656585485248855,0.0874225391954466,0.013973743921098378,-0.028597990246442627,-0.024670144828376463,-0.029913357717475827,-0.026095598216336776,0.185082498997973,0.08470943325086415,0.08329327374429708,0.0834420243703034,0.08260471772796284,-0.030615524997772835
Otwarcie_woj,0.021545044355875228,0.01972051304183752,0.023951592701430505,0.022388576234609162,-0.1715499593518738,0.20240153128904975,0.19804999613705082,0.2082307926003306,0.20483245752585352,-0.07157199841403732,0.5398290253088316,0.5412619090870932,0.5393263931922445,0.5404833807902303,0.020819598268158254,1.0,0.9891492493723198,0.9868570460594717,0.9820285316219142,0.33512917740808273,-0.15106590115627005,-0.1514165530648,-0.15040339384543522,-0.15100424788523256,-0.12996903185247874,0.029109899239210955,0.024904614793366055,0.029474801485800825,0.02556841973228756,-0.11222518245623046,0.03702676665989775,0.03608802523103283,0.039203739521915214,0.03796504513549969,-0.14038996152708644,0.49953234575870237,0.4995478575019759,0.49614687119401724,0.49743260959369223,-0.11984972909973032,-0.5350054124719656,-0.5365498737259888,-0.5352625876059458,-0.5362968612227351,0.15067986260431523,-0.16069700620839994,-0.1649598037502093,-0.15842023934356242,-0.1625014680170709,-0.1111973229594121,-0.24464982994465087,-0.24624701432533105,-0.24391624225316647,-0.24551473230541557,-0.025050250102358732
Najwyzszy_woj,0.016676056665559838,0.015147632176950738,0.01902169341000586,0.01777538341221492,-0.15901516557882883,0.20775135002498823,0.20349350804201866,0.21329939304559684,0.20992227720581358,-0.07194644272545048,0.5278450397202389,0.5297053403442045,0.5275415051032658,0.5290104203124435,0.02283364495874828,0.9891492493723198,1.0,0.9783193751583923,0.9892252473147273,0.4077314479668551,-0.14092677678381466,-0.141188839054639,-0.1402889603509358,-0.14084523947963942,-0.12151237670874677,0.02570694780208298,0.022112377745263763,0.02583519636962987,0.0224121188948313,-0.101348939487041,0.036437297681132366,0.0358468745081676,0.03855654509094416,0.03766343847053655,-0.12349449696152597,0.5004588958615012,0.5008619969033691,0.49716615754783094,0.49866221475992634,-0.11669497006377638,-0.5319741774134085,-0.5333001238569915,-0.532337736429619,-0.5333134073865007,0.15547762058628478,-0.15750821874622797,-0.16108339010020542,-0.15550589776475165,-0.159077420281223,-0.09926483125314185,-0.23727161912705763,-0.23870517777099656,-0.23675864555557335,-0.23818131017478467,-0.02400896617424815
